Date,Asset Number,Client,Price,Inspection Type,Task,Start,Finish
2019-11-22,Dynex jib crane pour station,Amsted,"$1,200",Quarterly,Amsted,2019-11-22,2019-11-29
2019-11-22,R300 Punch Press,Amsco,"$1,200",Quarterly,Amsco,2019-11-22,2019-11-29
2019-11-22,Kiln crane,Amsted,"$1,200",Quarterly,Amsted,2019-11-22,2019-11-29
2019-11-22,Scrap Wheel Crane,CP478,"$1,200",Quarterly,CP478,2019-11-22,2019-11-29
2019-11-22,3-Ton P&H Gantry,AM Castle,"$1,200",Quarterly,AM Castle,2019-11-22,2019-11-29
2019-11-23,Tundish crane,Ancast,"$1,200",Quarterly,Ancast,2019-11-23,2019-11-30
2019-11-24,Kiln entrance monorail,Amsted,"$1,200",Quarterly,Amsted,2019-11-24,2019-12-01
2019-11-24,3-Ton P&H Gantry,AM Castle,"$1,200",Quarterly,AM Castle,2019-11-24,2019-12-01
2019-11-27,Crane no.6,Monteferro,"$1,200",Quarterly,Monteferro,2019-11-27,2019-12-04
2019-11-28,WSC3,Supreme Steel,"$1,200",Quarterly,Supreme Steel,2019-11-28,2019-12-05
2019-11-28,High Bay#5 Abus Crane,Toromont Cat Wpg,"$1,200",Quarterly,Toromont Cat Wpg,2019-11-28,2019-12-05
2019-11-28,Crane #6,Monteferro,"$1,200",Quarterly,Monteferro,2019-11-28,2019-12-05
2019-11-28,215-159,Motor Coach Ind.,"$1,200",Quarterly,Motor Coach Ind.,2019-11-28,2019-12-05
2019-11-28,Bay 3 Zelus 40-Ton,Samuel Coil,"$1,200",Quarterly,Samuel Coil,2019-11-28,2019-12-05
2019-11-30,50514944,CP478,"$1,200",Quarterly,CP478,2019-11-30,2019-12-07
2019-11-30,50514942,CP478,"$1,200",Quarterly,CP478,2019-11-30,2019-12-07
2019-11-30,50510328,CP478,"$1,200",Quarterly,CP478,2019-11-30,2019-12-07
2019-11-30,50514943,CP478,"$1,200",Quarterly,CP478,2019-11-30,2019-12-07
2019-12-01,50510310,CP478,"$1,200",Quarterly,CP478,2019-12-01,2019-12-08
2019-12-01,50775201,CP478,"$1,200",Quarterly,CP478,2019-12-01,2019-12-08
2019-12-01,CRN- G571,Zelus,"$1,200",Quarterly,Zelus,2019-12-01,2019-12-08
2019-12-01,50775197,CP478,"$1,200",Quarterly,CP478,2019-12-01,2019-12-08
2019-12-01,50775200,CP478,"$1,200",Quarterly,CP478,2019-12-01,2019-12-08
2019-12-05,Demag 3-Ton,Westcon,"$1,200",Quarterly,Westcon,2019-12-05,2019-12-12
2019-12-05,CRN-R535,Zelus,"$1,200",Quarterly,Zelus,2019-12-05,2019-12-12
2019-12-05,Demag 10-Ton,Westcon,"$1,200",Quarterly,Westcon,2019-12-05,2019-12-12
2019-12-05,CRN - G572,Zelus,"$1,200",Quarterly,Zelus,2019-12-05,2019-12-12
2019-12-06,#3509-05,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#3509-04,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J24,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J26,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J25,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J27,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J28,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J20,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J22,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-06,#J21,CP901,"$1,200",Quarterly,CP901,2019-12-06,2019-12-13
2019-12-07,#J19,CP901,"$1,200",Quarterly,CP901,2019-12-07,2019-12-14
2019-12-07,#J18,CP901,"$1,200",Quarterly,CP901,2019-12-07,2019-12-14
